2024-04-10 11:37:04,562 INFO    MainThread:33640 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_setup.py:_flush():76] Configure stats pid to 33640
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_setup.py:_flush():76] Loading settings from /Users/christophermao/.config/wandb/settings
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_setup.py:_flush():76] Loading settings from /Users/christophermao/Documents/GitHub/SoccerAI/envs/wandb/settings
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test.py', 'program_abspath': '/Users/christophermao/Documents/GitHub/SoccerAI/envs/test.py', 'program': '/Users/christophermao/Documents/GitHub/SoccerAI/envs/test.py'}
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_init.py:_log_setup():521] Logging user logs to /Users/christophermao/Documents/GitHub/SoccerAI/envs/wandb/run-20240410_113704-ziofy3s3/logs/debug.log
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_init.py:_log_setup():522] Logging internal logs to /Users/christophermao/Documents/GitHub/SoccerAI/envs/wandb/run-20240410_113704-ziofy3s3/logs/debug-internal.log
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_init.py:init():561] calling init triggers
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'Eps_start': 0.99, 'Eps_end': 0.05, 'Eps_decay': 5000, 'episodes': 1000}
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_init.py:init():611] starting backend
2024-04-10 11:37:04,563 INFO    MainThread:33640 [wandb_init.py:init():615] setting up manager
2024-04-10 11:37:04,568 INFO    MainThread:33640 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-04-10 11:37:04,569 INFO    MainThread:33640 [wandb_init.py:init():623] backend started and connected
2024-04-10 11:37:04,574 INFO    MainThread:33640 [wandb_init.py:init():715] updated telemetry
2024-04-10 11:37:04,574 INFO    MainThread:33640 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-10 11:37:04,952 INFO    MainThread:33640 [wandb_run.py:_on_init():2357] communicating current version
2024-04-10 11:37:05,061 INFO    MainThread:33640 [wandb_run.py:_on_init():2366] got version response 
2024-04-10 11:37:05,061 INFO    MainThread:33640 [wandb_init.py:init():799] starting run threads in backend
2024-04-10 11:37:05,182 INFO    MainThread:33640 [wandb_run.py:_console_start():2335] atexit reg
2024-04-10 11:37:05,182 INFO    MainThread:33640 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-10 11:37:05,182 INFO    MainThread:33640 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-10 11:37:05,182 INFO    MainThread:33640 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-10 11:37:05,183 INFO    MainThread:33640 [wandb_init.py:init():842] run started, returning control to user process
